name,H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3
IMG_0117,610635,515697,299049,420118,184674,108036,70479,44196,8652,186877,81543,132731,77457,175634,11352126,7067,1028,7497,409228,288918,219913,96926,82290,2430045,2565,46005,56518
IMG_0134,358509,502863,299086,527128,452484,163416,173985,243088,41678,188254,104877,159984,96561,205323,12395984,12287,1116,9039,482860,360814,267802,103074,101366,531950,6976,36486,88914
IMG_0169,754127,276992,147637,668987,107557,87056,175316,10296,2850,176590,96660,123667,100959,165715,13400841,7423,826,3874,432572,373397,222848,108909,101802,264766,4759,51310,48168
8831,87751,565894,349168,325269,436270,72629,183522,331502,74983,110348,18817,309363,18921,72153,10987876,1072,1387,4040,390382,546120,420262,122131,190450,1135833,370,123,157610
IMG_0099,473163,312576,163554,582547,122459,87773,223597,39452,5125,196106,81120,118291,101500,161740,13901899,8790,1181,3800,373111,342559,199670,92073,76887,151049,3528,46115,46239
IMG_0013,549443,409949,206983,531966,201418,109497,83982,53958,7924,193248,84687,126879,88777,191270,12529907,6312,901,7832,377020,335742,202810,88669,80167,1349686,1676,44932,50269
IMG_0124,440240,320563,211985,663381,552072,159710,123499,185332,33432,155507,111124,161377,131166,222096,6137052,11598,1034,10427,494028,546158,271416,130957,212663,6502235,5080,28425,93347
IMG_0029,742049,388627,319141,477321,213163,103154,42014,41092,8411,209108,104569,160868,85914,193891,13355117,4300,773,16940,309204,388818,229937,53748,101422,262837,1994,34021,67471
IMG_0014,522418,253393,124836,930973,152544,73521,269125,43757,4614,154266,110857,136113,100477,175383,8430244,6824,1440,5173,487878,393455,249952,133447,167662,4864900,4232,58968,59452
8828,164529,212305,882057,109642,367833,209393,37994,247746,284696,202470,25817,278312,26622,96951,11763283,1200,1066,3934,258755,642002,572334,41590,116301,275992,277,1,91144
IMG_0055,595879,470555,308269,539638,270999,106800,88977,94094,16662,203539,95328,174183,87206,216276,12365113,5051,771,10661,338254,525957,274930,71646,114103,820315,1685,44094,74919
IMG_0079,434495,384323,336656,433682,430555,169955,78190,153253,34048,245504,84116,135961,116602,201547,13194695,6866,354,17700,360289,426691,230240,61695,100336,177424,2325,10337,88065
IMG_0172,363828,146732,103612,941333,87342,75037,211893,9197,3450,130453,127480,69177,135313,167648,11648419,6379,652,2425,484556,359484,224887,112716,111584,2310086,5404,49093,27724
8818,113421,170923,744587,117869,473211,222612,44064,311909,292317,167062,18527,272672,17861,70525,12019277,970,1032,3874,290542,501521,491786,42517,138375,294513,340,6,91933
IMG_0098,372661,361255,158253,516877,217254,91542,164093,79707,9295,173971,76405,119474,79555,158095,13391065,7241,1044,5420,375672,313264,202226,90436,79509,776959,2389,44545,47697
IMG_0194,507500,235907,128307,841697,93207,66083,205028,11428,3298,188802,127481,89846,101646,147463,10463829,9097,842,3044,471116,322590,228521,105699,120693,3349352,5153,50365,37910
IMG_0001,425000,400297,207637,519936,312796,111367,145459,145535,22768,189871,87508,134817,103607,185603,7687397,7373,897,7738,486942,333908,218759,112470,127543,5832807,4108,35035,68726
IMG_0182,554348,290404,139459,635086,94744,65395,175055,15521,2745,176286,90133,114654,96270,135068,8621976,8077,811,3124,397694,388365,206820,93266,128684,5389721,3110,46423,42665
8807,709629,342113,40672,705459,61886,21702,362240,36126,5940,113802,46548,202250,90061,105374,130008,6452,1577,2690,514785,527466,390473,143741,199097,12979002,598,83170,93043
8851,150041,257771,888142,88596,340551,184910,43540,288423,264685,183130,40804,278742,17812,85589,11954360,674,982,3886,304042,517663,483727,37093,124672,282804,218,1,91388
IMG_0057,453622,451616,205478,391888,170159,71727,90061,76241,11986,149355,68393,127220,68395,173484,12544744,4150,737,7685,361400,309866,201449,56855,94165,1731670,1326,44723,47509
IMG_0130,520640,437113,392041,444377,336588,152754,76943,100530,24144,204562,87820,145652,93933,174586,13256674,9493,442,12382,378064,359262,242830,75226,84172,192808,6244,4373,102251
8849,213141,159245,986076,38675,258102,268102,50804,203937,362454,231502,33929,279789,48800,128438,11646984,1417,855,3980,276716,726358,492909,37829,100346,272589,238,1,91030
8848,142627,156087,841385,77552,395241,254323,55606,269318,327863,192519,25048,254597,21653,91191,12132601,927,945,4030,247638,394444,500344,40092,119008,277642,338,4,91223
IMG_0005,446238,418350,322977,400050,337411,139848,74041,131684,31301,216872,73993,151049,81891,167304,9025198,6665,730,11670,375041,334202,219159,77836,98348,4671970,1753,17132,83191
8855,171212,203165,917004,62644,324754,214206,53727,274243,299892,192085,19652,248183,17459,92621,12052676,797,921,4024,293769,456474,494362,37739,114517,276708,251,4,91157
IMG_0165,295102,314419,163401,855836,371267,109520,186028,125519,12115,145505,119621,120545,136610,218849,12843057,34597,1231,4846,502431,439091,243510,139818,135187,269896,13041,55898,58964
IMG_0137,426394,471005,304864,500228,280581,111516,101594,131324,24763,167535,104711,150443,114970,223756,11977490,9710,835,8217,397348,490033,247952,104004,104224,1344101,5866,22187,90253
8834,75662,420161,542505,232037,490029,103912,100026,344971,126532,114507,14801,300392,24713,41216,11857464,1322,1294,3914,369461,557102,446002,58889,189647,366524,501,69,130593
8861_1,48792,14893,7759,1206764,39661,12507,15525,2427,1103,34636,70099,56104,92103,80952,105234,8446,2084,2767,180545,294371,200263,178796,135708,15025101,360,48483,50421
IMG_0199,484306,416057,176073,614922,260317,94264,215161,121669,10789,177012,95317,135778,113866,218002,12619058,10695,1240,5861,436695,410437,226295,106544,83920,769209,6583,49984,55850
IMG_0188,601451,293178,137449,899082,115594,68420,280433,18830,3471,213551,176547,143109,124988,143347,6259105,11052,1414,4103,457845,431062,280275,128106,193628,6810063,4525,61632,53644
IMG_0030,542042,330559,162757,1066418,206062,85871,295545,68042,6656,184576,137618,167777,114290,173547,5950757,6206,1495,7248,532898,454757,291557,161629,202607,6622782,3369,69308,69531
8826,71306,505267,425767,268399,487669,86096,159659,330349,97301,108607,17639,308055,18508,48474,11728802,1081,1349,3968,399003,571142,432163,95434,192602,405112,283,85,150126
IMG_0077,364789,367635,336383,398218,497575,175518,76996,219014,57155,252891,68944,176394,92349,162892,8132740,9674,522,17388,350739,315526,239210,82697,132221,5280311,2561,4059,101503
IMG_0162,341519,287355,172425,429966,225199,95053,72989,73939,12463,165901,55871,95591,87922,174019,14248096,5424,767,8741,405288,233270,156010,50338,77527,367513,2072,27117,43529
IMG_0120,540944,442490,485605,427669,477579,188793,66727,164581,44624,257881,78893,185883,90911,182508,12403423,9198,758,15625,387085,421314,282130,86822,96965,447110,2387,3807,124192
8845,100587,320113,689495,191921,449430,127175,53345,345291,176067,128908,19626,296113,19613,46637,12057851,997,1003,3893,328971,438373,473021,41452,170792,331273,296,12,101991
IMG_0121,631003,388586,418539,416084,414312,189422,47991,93051,26290,254183,66354,165617,76556,163438,12994725,6551,679,20790,355847,376984,241930,68539,92139,302023,1525,5439,97307
8813,65606,479937,424589,303874,504251,92337,130058,334660,96694,108302,17199,312133,16859,46375,11812849,975,1350,4054,382967,519188,424965,99361,188802,394170,274,71,152346
IMG_0034,492316,265349,155942,672972,136598,78592,156615,36300,4639,179304,86894,118825,117531,224611,13365357,3987,1096,5580,370323,378869,202222,68804,94928,602944,1507,47147,46652
IMG_0166,447556,195521,107114,962908,118274,71970,219706,13240,2812,145490,115513,111809,107509,155429,9054274,6296,858,2836,499463,424885,236692,117722,146011,4544345,5803,53778,48090
IMG_0092,338420,455730,239537,665097,464350,117970,196698,189777,23708,152195,114702,162382,120620,229822,11176276,16031,891,7890,572070,435842,281467,170620,147155,1494698,9760,60724,71472
IMG_0140,568599,487833,290735,546103,236026,122064,89083,61539,10296,170360,91849,139102,78676,180732,13200037,8158,706,8756,414567,388429,235511,87803,76620,311678,3519,39873,67250
8803,744676,475858,52520,572504,69403,24717,305707,47450,7376,124643,83733,247830,63831,105906,1078931,12923,1197,2853,404535,667284,453365,137733,195209,11859657,510,76200,99353
IMG_0072,646513,441732,194502,682216,170969,103284,104326,31808,4972,206418,89136,145983,83775,159210,10322956,5295,980,6594,468909,277250,236195,74955,144821,3200983,2101,54399,55622
8811,182585,189876,895473,69491,351263,229817,49845,262918,292802,193283,17952,249845,15882,93776,12014121,802,964,3928,235497,522548,524085,37919,112670,275487,278,4,91135
IMG_0058,506073,415231,369828,374551,368795,168479,55986,121850,28308,258840,52867,152124,86976,179363,13427717,5381,512,34001,299695,410479,223747,48556,96915,149913,1193,15023,63501
IMG_0045,509592,309415,154063,661862,203604,102641,105421,41216,5370,185260,83895,120234,98933,207389,12220788,4810,967,6384,432561,342013,203357,66966,104296,1648919,1522,46699,47727
8861_2,44583,15647,9134,1201449,42366,15166,14787,2456,1167,30805,74834,57176,87683,78369,165086,11702,1901,2875,135753,253676,217782,177156,138688,15037495,544,47850,49774
IMG_0017,516587,218271,107742,794838,86667,59437,135451,9004,2252,162494,93987,99043,100694,136603,7555148,6449,932,3471,529128,278907,203643,118890,179464,6428515,2880,46692,38715
8837,78782,518413,389709,343860,470916,79274,145386,319371,85387,111532,19133,315930,21004,60351,11348705,1156,1373,3947,387068,558096,469320,116733,190530,721790,381,60,156039
8840_2,110611,226395,751959,121544,452625,190708,54261,320426,250233,177023,29032,286849,43984,83797,11786378,1342,1099,3902,383864,581116,474471,42245,146399,301281,264,6,92432
IMG_0037,639016,344462,173638,702148,182749,114627,85896,32416,5220,201162,85798,130964,96651,196792,12739283,4993,1034,6960,404100,357721,216294,81639,99738,909682,2099,50057,50765
8801,784865,262971,35557,725995,48994,20405,370925,25981,5703,110497,28664,203322,90213,105285,32893,4513,1626,2766,384255,450647,385428,139574,202519,13320765,558,78521,92462
IMG_0060,742419,469485,431456,360780,336827,160589,34479,63472,17124,261385,52953,170127,95743,190066,13077098,6496,328,36592,309660,441310,259148,60218,99639,148207,1526,6764,82013
IMG_0093,343652,270497,166457,1128032,241871,85852,214424,64738,6761,123514,154144,130516,153624,197715,9434427,24832,1374,4669,422731,546846,278631,217046,161788,3402878,7757,64577,66551
IMG_0159,405796,426452,193753,785075,340891,119873,233157,127798,12601,183773,124309,188105,120154,220086,9914171,11579,970,7938,357836,539870,276380,116506,129464,2948592,8485,54641,67649
IMG_0085,442598,349194,237511,524181,271423,108363,94969,90183,13624,205106,75042,108335,81703,166957,13705242,5388,532,13102,301195,339202,198380,46629,94426,354184,1479,36698,50258
8843,126334,235910,790496,88688,421343,176423,57935,329110,253493,158189,17972,272837,20868,67528,11937692,981,1029,3892,347276,551748,483049,40274,145078,293099,297,10,92695
8861_4,36144,13405,8079,1194524,39603,7603,12024,2303,1165,18955,70666,57034,90320,68858,91673,8115,2018,2918,143794,254891,206453,181205,138475,15166328,376,48555,50420
IMG_0168,612194,224131,122643,688438,90829,68727,203243,10812,2314,145165,89796,120924,87951,154683,13253018,6068,778,3628,404134,356488,218131,103461,105897,738030,4810,50096,49515
IMG_0021,570358,296001,154869,691494,112091,81739,166807,25808,3607,182746,85200,126744,103546,193629,13624306,6585,1013,5476,469011,321579,209527,96572,89120,198310,3244,48323,48199
