make,model,x_resolution,y_resolution,resolution_unit,software,datetime,_exif_ifd_pointer,compression,jpeg_interchange_format,jpeg_interchange_format_length,exposure_time,f_number,exposure_program,photographic_sensitivity,exif_version,datetime_original,datetime_digitized,shutter_speed_value,aperture_value,exposure_bias_value,subject_distance,metering_mode,focal_length,pixel_x_dimension,pixel_y_dimension,focal_plane_resolution_unit,exposure_mode,white_balance,spikelets_num,name
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:29:57,196,6,912,2266,0.00625,14.0,1,100,0220,2019:01:22 10:29:57,2019:01:22 10:29:57,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,25,IMG_9751
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 11:32:33,196,6,912,1919,0.008,9.0,1,100,0220,2018:04:19 11:32:33,2018:04:19 11:32:33,7.0,6.375,0.0,0.0,5,90.0,5184,3456,2,1,0,17,IMG_0452
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 09:51:54,196,6,912,1712,0.008,9.0,1,100,0220,2018:04:23 09:51:54,2018:04:23 09:51:54,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,22,IMG_0923
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:20 09:42:27,196,6,912,1817,0.008,9.0,1,100,0220,2018:04:20 09:42:27,2018:04:20 09:42:27,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,23,IMG_0645
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:02:01 14:51:36,196,6,912,2411,0.00625,9.0,1,100,0220,2019:02:01 14:51:36,2019:02:01 14:51:36,7.375,6.375,0.0,0.0,5,63.0,3456,5184,2,1,1,6,6833_3_{X-18}
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 09:56:29,196,6,912,2320,0.00625,14.0,1,100,0220,2019:01:22 09:56:29,2019:01:22 09:56:29,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,29,IMG_9603
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:47:31,196,6,912,2272,0.00625,14.0,1,100,0220,2019:01:22 10:47:31,2019:01:22 10:47:31,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,30,IMG_9831
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:10:10 09:51:25,196,6,912,1945,0.00625,13.0,1,200,0220,2017:10:10 09:51:25,2017:10:10 09:51:25,7.375,7.375,0.0,0.0,5,60.0,5184,3456,2,1,0,21,7251_3
Canon,Canon EOS 350D DIGITAL,300.0,300.0,2,Capture One 7 Windows,2017:06:19 04:39:12,224,6,940,1890,0.00625,11.0,1,100,0220,2017:06:19 04:39:12,2017:06:19 04:39:12,7.321929931640625,6.9188690185546875,0.0,0.0,1,55.0,3456,2304,2,1,0,16,8730_1
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 11:58:45,196,6,912,1840,0.008,9.0,1,100,0220,2018:04:19 11:58:45,2018:04:19 11:58:45,7.0,6.375,0.0,0.0,5,95.0,5184,3456,2,1,0,23,IMG_0529
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:23 09:34:30,196,6,912,2366,0.00625,14.0,1,100,0220,2019:01:23 09:34:30,2019:01:23 09:34:30,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,28,IMG_0217
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 10:33:45,196,6,912,1772,0.008,9.0,1,100,0220,2018:04:23 10:33:45,2018:04:23 10:33:45,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,25,IMG_1084
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:10:10 09:36:47,196,6,912,1889,0.00625,13.0,1,200,0220,2017:10:10 09:36:47,2017:10:10 09:36:47,7.375,7.375,0.0,0.0,5,60.0,5184,3456,2,1,0,11,8798_4
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:20 10:15:22,196,6,912,1819,0.008,9.0,1,100,0220,2018:04:20 10:15:22,2018:04:20 10:15:22,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,23,IMG_0731
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 10:41:49,196,6,912,1784,0.008,9.0,1,100,0220,2018:04:23 10:41:49,2018:04:23 10:41:49,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,23,IMG_1114
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:23 09:28:34,196,6,912,2169,0.00625,14.0,1,100,0220,2019:01:23 09:28:34,2019:01:23 09:28:34,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,30,IMG_0186
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2017:06:20 10:12:17,196,6,912,1932,0.00625,10.0,1,200,0220,2017:06:20 10:12:17,2017:06:20 10:12:17,7.375,6.625,0.0,0.0,5,112.0,5184,3456,2,1,0,25,8795
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 11:49:37,196,6,912,1930,0.008,9.0,1,100,0220,2018:04:19 11:49:37,2018:04:19 11:49:37,7.0,6.375,0.0,0.0,5,90.0,5184,3456,2,1,0,22,IMG_0503
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:23 09:41:59,196,6,912,1773,0.008,9.0,1,100,0220,2018:04:23 09:41:59,2018:04:23 09:41:59,7.0,6.375,0.0,0.0,5,50.0,3456,5184,2,1,0,18,IMG_0882
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2019:01:22 10:39:19,196,6,912,2278,0.00625,14.0,1,100,0220,2019:01:22 10:39:19,2019:01:22 10:39:19,7.375,7.625,0.0,0.0,5,50.0,3456,5184,2,1,1,27,IMG_9794
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 10:36:30,196,6,912,1961,0.008,9.0,1,100,0220,2018:04:19 10:36:30,2018:04:19 10:36:30,7.0,6.375,0.0,0.0,5,85.0,5184,3456,2,1,0,19,IMG_0378
Canon,Canon EOS 600D,300.0,300.0,2,Capture One 7 Windows,2018:04:19 12:01:48,196,6,912,1948,0.008,9.0,1,100,0220,2018:04:19 12:01:48,2018:04:19 12:01:48,7.0,6.375,0.0,0.0,5,95.0,5184,3456,2,1,0,18,IMG_0539
