name,spikelets_num,H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,ratio,bbox_width,bbox_height,spike_perimeter
Spike_342,9,782374,24602,459999,1019,752,29,15374,19749,60,1215403,175549,114084,106,630,17197,8491,8806,16507,1193,322319,173205,0,0,0,0,0,17528,0.0870511375714653,26.811750372011314,70.51142143288689,186.47663675868148
Spike_206,21,600682,8345,454202,1491,668,12,22785,15407,22,1532752,54414,98593,875,845,17136,12918,11098,16973,16184,330014,161923,11,1,0,0,1,17624,0.0871924460326897,46.82234351955437,93.90626437720681,308.91596994981217
Spike_238,10,412177,5397,436871,358,515,1,6136,3328,0,1725849,60590,111769,9,1119,16942,17604,16561,17093,3114,359137,162728,0,0,0,0,1,17677,0.0875583162238983,14.622238809391016,74.24945215786576,168.74026363465376
Spike_831,16,590,3005,551853,136,691,20,80,5558,21,1446199,41393,179050,103,23940,278,23664,21745,18769,627780,175041,230914,0,0,0,0,0,24146,0.0758930065660347,9.866090853584511,53.276890609356364,138.43918110687636
Spike_439,9,78409,66992,452161,89,595,0,183,21813,9,1285677,745188,129793,15,16416,3467,18908,484,16632,67,341324,177205,0,0,0,0,0,19549,0.086774951967387,19.350814288727303,60.742466377170906,149.78027753663665
Spike_39,13,319236,5672,447997,1213,512,0,14755,2905,2,2025611,52644,109825,472,1124,17878,21396,17771,17977,18838,147465,133063,0,0,0,0,24,18596,0.0849371685890704,14.439318660141968,56.653091448909954,137.75136888090782
Spike_547,10,2758,4740,602659,127,938,76,156,27160,57,1520675,194651,168544,34,20934,3054,21803,1796,13582,302597,237488,227172,0,0,0,0,0,23975,0.076358017669702,13.286295074528148,64.59888294856789,160.17378321545172
Spike_612,10,12257,8240,600426,165,1120,133,414,27355,73,1819873,173824,150833,9,15800,7950,17355,5867,7341,118175,141371,242603,0,0,0,0,0,23792,0.0773792154074872,14.779430142830055,67.93895112777376,172.0015953097736
Spike_497,8,13133,33874,377240,133,285,0,13,12479,16,1350296,862469,152073,65,19997,16,19106,9681,16023,197,317389,170856,0,0,0,0,0,19635,0.0876295129134364,9.98976447213175,36.97965444947016,88.44905689837442
Spike_435,10,172025,4973,452162,148,645,1,916,10900,20,1889716,90596,124277,7,1960,18029,18973,11455,18708,668,358658,180548,0,0,0,0,0,19591,0.0873053200705248,24.88201622009957,57.09767932612322,143.5784418997495
Spike_818,9,6777,4650,597106,169,889,66,217,27070,62,1648303,145900,167366,34,21587,2430,22757,885,17221,201957,251600,233916,0,0,0,0,0,24014,0.0757144355471919,40.58293745329486,46.7158067326174,150.04012189025065
Spike_106,11,928633,20442,472481,1713,833,42,18355,20311,56,1246256,104844,101396,71,695,17713,7649,10361,16481,1222,186192,201121,0,0,0,0,0,18109,0.0860480819649934,13.93978927832893,94.56684207952775,217.74202524613787
Spike_122,15,557512,10937,466879,594,763,9,8201,14780,20,1671142,81900,107459,261,904,17664,15689,8877,17402,8705,186961,180105,1,0,0,0,1,18210,0.0860120121441253,15.310138161654303,78.44295507544227,179.8107852667403
Spike_222,10,541291,11187,451028,240,572,1,10326,19255,3,1521342,134323,99800,4,1148,16836,14723,3635,16782,3743,327354,183792,0,0,0,0,0,17591,0.0874262814884694,16.173862075366838,87.60113405144634,204.5951781996071
Spike_428,10,99961,122318,463657,213,554,0,259,21916,20,1075647,840841,133948,10,15522,4330,16368,2872,14654,50,331725,210650,0,0,0,0,0,19461,0.0867760953076417,21.780799922218065,69.76798062734393,172.0062724862652
Spike_56,21,523379,10685,465479,173,599,3,7818,14069,3,1643108,118505,116225,6,1082,17743,18287,6853,17854,1123,213820,179642,0,0,0,0,0,18520,0.0859867856062553,34.65267459932089,94.49947738127459,262.66311850570895
Spike_656,10,9909,8137,592775,158,1215,87,348,27383,94,1735171,194657,162227,5,17658,6072,16319,6974,7803,162086,147030,255076,0,0,0,0,0,23792,0.0776484469441114,13.743775109107718,63.28348425945079,164.12438982397504
Spike_397,6,312651,7214,449718,252,608,7,8660,4403,12,1913777,44440,95717,995,853,17154,20992,16820,17294,4933,297850,142922,1,0,0,0,1,17702,0.08731303530874,14.406650825942101,46.2759087136322,111.38121311968021
Spike_215,22,696152,9831,455637,659,735,5,9633,19665,24,1466289,66833,102554,142,938,17003,11864,6162,15972,2537,296681,178098,0,0,0,0,0,17562,0.0876101408099419,42.57852843363176,75.51994137816992,277.15102419503484
Spike_132,12,716832,69634,471406,189,804,16,4009,20528,38,1158095,274736,139930,6,766,17638,9900,7906,15372,429,201666,247012,0,0,0,0,0,18064,0.086238605012952,34.75415782021965,102.71017857042582,273.45905526842904
Spike_466,10,108247,113056,451770,120,780,0,376,22113,13,1160575,770133,140788,3,11434,8286,13857,5212,13399,39,327040,208342,0,0,0,0,0,19393,0.0873952153201619,39.15305646343253,65.89599235140207,203.99997787019797
Spike_110,9,476930,7905,459816,306,587,6,5291,4947,6,1787782,71619,105966,200,1024,17613,18712,16582,17451,21193,179301,163494,0,0,0,0,3,18242,0.0859402860311941,18.992803212893893,61.361364226272585,144.63384836323573
Spike_535,10,3053,4081,602682,134,962,40,174,27090,56,1478700,167924,167412,75,22279,1598,21489,2137,14739,273828,277781,284805,0,0,0,0,0,23937,0.0762405277837885,16.69667558464968,82.03480789535642,215.5565260773962
Spike_462,8,7398,64350,422385,120,351,0,33,21453,6,1036837,1099492,150979,74,19939,6,18449,1260,15065,102,316780,180316,0,0,0,0,0,19581,0.0866321049339963,9.876059962475578,45.65511930021605,110.21741971035014
Spike_26,18,433145,7063,459379,736,682,7,8154,3622,5,1817192,67068,118881,120,939,17935,19225,17279,18012,8680,184218,174059,1,0,0,0,3,18571,0.086031039471672,32.433701880820344,67.2762728668475,173.6993054643101
Spike_515,10,44696,19633,415772,141,466,0,179,19995,8,1764820,414301,133228,49,17417,2554,19253,1962,17340,180,319274,164149,0,0,0,0,0,19559,0.0877933395511983,9.74506069018301,57.680224085137276,133.65561018294073
Spike_406,7,330174,7071,448855,308,645,14,13216,4295,10,1896788,40155,94869,978,856,17137,18978,16862,17281,4472,302085,142238,0,0,0,0,0,17689,0.0875648259812336,12.784464593260104,53.41454384855249,123.14228792408686
Spike_405,7,250053,5750,442951,246,613,2,9032,3266,9,1984645,40689,99346,877,878,17177,20235,16981,17318,8557,299227,139418,0,0,0,0,3,17703,0.0878413327282969,12.73699324560305,51.73854497696688,120.91569803693976
Spike_459,9,15049,98893,442088,135,449,0,89,21653,9,955038,1114691,139495,44,19545,346,17060,2388,13613,68,317578,197216,0,0,0,0,0,19529,0.0867693788307525,15.792026947196955,67.5933461091562,158.2893826606219
Spike_600,8,13237,6544,581104,150,1088,113,315,27488,57,1594251,158159,159834,16,17518,6374,21218,2240,11247,243716,224771,281627,0,0,0,0,0,23909,0.0772023157736921,23.08349241633394,68.4012517754912,168.46463713629583
Spike_234,17,518932,7560,450255,296,624,3,7571,15830,7,1611528,88169,107147,24,1013,16975,15012,6748,16686,9679,316500,166805,0,0,0,0,0,17612,0.0875037012899451,33.251406490179136,77.6157830441813,204.29228889136843
Spike_218,10,562798,8432,450654,340,630,1,6550,15006,4,1612205,73661,98474,45,1038,16919,15559,7755,16705,6632,301448,162528,0,0,0,0,0,17592,0.0871828784370897,19.005867499285554,65.91025609843982,154.49931296625758
Spike_572,16,5774,5751,588830,180,1063,145,391,27218,73,1755906,143572,163616,14,16586,7265,19414,3947,8149,187768,157279,258177,0,0,0,0,0,23858,0.0775624050621789,22.880909493342777,97.57350556822105,248.71170723928955
Spike_514,9,121600,33834,435844,164,614,1,294,21841,8,1656853,430437,110734,7,10307,9602,18741,596,17566,98,317897,168413,0,0,0,0,0,19525,0.0878498335470922,12.03542719595163,65.79952532677206,151.1681706030098
Spike_830,9,4688,4309,584570,132,853,37,151,26812,46,1746723,67119,171479,40,22572,1514,23344,733,18309,295378,169719,212423,0,0,0,0,0,24025,0.0756781645205869,9.686805058635123,49.947588583587354,116.6391124980407
Spike_389,10,423357,7749,456360,208,740,24,6746,18667,12,1754242,63490,94049,845,656,17306,13373,6010,17060,1992,315035,159389,0,0,0,0,0,17666,0.087698129639044,13.59321009405182,72.61405134112843,163.6994731993667
Spike_54,10,502476,7058,470794,867,583,15,13066,8838,9,1764987,67934,103190,194,875,18001,18592,12918,17844,3075,178440,166670,2,0,0,0,1,18547,0.0860895463076984,17.64835699307817,64.3949806381584,149.91791907873653
Spike_780,10,23395,27072,558587,177,1161,118,364,27097,94,1652514,292289,151872,8,17514,6195,17985,5309,8185,89924,167538,303834,0,0,0,0,0,23744,0.0788697788510337,19.954054049311527,78.94864862988474,193.1293651105686
Spike_34,13,476046,9628,472872,390,644,3,9582,9682,10,1757348,75525,109584,250,866,18003,17762,12202,17928,1896,164196,202021,0,0,0,0,0,18538,0.0851672387760167,37.98458849410345,93.59879541484236,264.28546762145345
Spike_230,11,710053,7798,455609,980,819,20,19010,19176,15,1436419,54670,94168,617,834,17125,10660,7996,16790,6736,324456,173394,12,0,0,0,1,17618,0.0877099339988136,15.436948383791194,87.35909426281835,197.73507127747612
Spike_775,10,13751,9671,517822,175,1082,106,272,26765,41,1676003,200292,156685,18,18717,4919,20991,2461,9926,208399,206082,277082,0,0,0,0,0,23716,0.0804206098459319,20.989779169788225,69.88550995611482,192.43951463758395
Spike_724,11,14208,9605,604036,139,1025,126,367,27167,46,1725994,186162,152814,8,18535,5308,18500,4873,8955,184331,137666,251239,0,0,0,0,0,23872,0.0769488082414613,12.004014085667963,67.56105363600302,171.19798923057795
Spike_454,11,34416,118252,447238,116,474,0,151,21838,4,1077673,942106,142074,55,18857,1038,17772,1656,15179,65,300584,215883,0,0,0,0,0,19545,0.0872459956869056,34.98564427044914,80.96428399744839,204.80960154787303
Spike_184,10,404201,5178,434533,496,558,0,12251,3142,9,1748932,60295,119861,6,1182,16799,18177,16763,17140,4631,318558,174569,0,0,0,0,0,17695,0.0872911565306955,15.712408175525189,74.63393883374465,176.30280434043624
Spike_433,8,156814,112769,467820,176,652,0,473,21911,20,1222566,659257,136803,9,9473,10363,17087,2081,14319,39,324427,198439,0,0,0,0,0,19478,0.0860516589235697,24.524722793217364,67.2923972782315,169.11354285991868
Spike_507,10,93134,147090,447354,116,781,2,306,21982,21,1137129,790744,137777,6,10388,9327,13767,5292,12472,35,302085,225804,0,0,0,0,0,19364,0.0876373144264041,33.38981679645996,79.74995612802773,210.13651036177433
Spike_510,10,384979,23548,445368,136,896,29,1069,22021,22,1453660,283288,126125,2,808,18919,11904,7097,16661,55,332752,226225,0,0,0,0,0,19412,0.0881461795068526,37.726564828932915,86.2951097372087,244.3490235511173
Spike_511,8,224543,40387,450048,112,766,9,606,21983,6,1590741,362059,121341,4,2828,16961,16990,2132,14107,85,300903,188930,0,0,0,0,0,19435,0.087553863015836,26.091051178719127,64.78985863171863,163.0590876339576
Spike_755,10,5091,4319,586825,131,851,92,168,26935,42,1528060,175591,174305,40,21866,2131,22965,732,15515,264487,243067,277748,0,0,0,0,0,24015,0.0761850161347696,18.436773904614245,71.9186552312225,176.57344473976536
Spike_226,14,659486,8893,450758,736,778,5,12725,17796,11,1484241,61797,99368,354,889,17081,12389,8197,16804,9260,318717,177090,0,0,0,0,0,17601,0.0875311182140392,15.843132396741094,98.4725079907941,230.43390872603024
Spike_611,18,15795,8685,592611,167,1070,137,305,27357,71,1743551,175987,153612,12,16744,7038,18229,5138,10677,191150,157427,225371,0,0,0,0,0,23842,0.0772318547456361,17.84055844624194,62.635034198710876,159.9567490109888
Spike_74,6,350762,5810,443344,414,496,0,2690,3119,2,1966294,71495,112656,62,1274,17450,19569,17299,17718,13925,175450,136773,0,0,0,0,27,18347,0.0859043515424074,16.665444199227036,46.30244548135759,132.74656793974447
Spike_434,9,125571,46740,454111,155,487,0,270,21727,4,1402019,597264,126944,20,14547,5390,18997,385,17659,82,346443,176604,0,0,0,0,0,19557,0.0867912488338445,17.96578850860581,69.95374656007866,179.5563079585955
Spike_673,9,14552,10767,576128,139,1060,67,257,27256,70,1498002,197146,165677,24,19958,3933,19959,3562,10725,297023,226418,278352,0,0,0,0,0,23901,0.0776620694817627,15.144103548943727,71.75975220114873,177.69548142459328
Spike_467,9,30787,38022,427321,164,490,0,132,21839,7,1402166,707847,143070,16,18327,1619,18920,594,16453,125,345650,181867,0,0,0,0,0,19560,0.0873911762306492,25.780396988041513,64.93164393937235,177.0706884056721
Spike_10,9,577430,15850,455077,397,599,0,10505,18912,6,1454455,273572,122827,16,1379,17605,18888,2251,17461,19954,186705,162538,0,0,0,0,2,18547,0.0863249137214709,15.970109038472117,68.02403201251907,157.98573375165375
Spike_78,10,622308,7835,460933,1366,577,3,8333,9112,10,1635459,64598,102174,34,981,17689,18759,11717,17792,4360,186997,185669,0,0,0,0,5,18265,0.0863429292970886,22.103789900054682,84.96144242833519,195.13091383636112
Spike_533,9,12438,6281,609828,142,997,66,243,27101,56,1527103,199537,160921,24,21198,2679,21013,2512,10685,255594,234975,257679,0,0,0,0,0,23904,0.076613120553779,22.524257442811027,63.435663818529015,178.1772429408435
Spike_210,9,911389,16687,457268,975,848,26,14778,19601,30,1218500,82574,95730,367,745,17131,7094,10368,16424,1976,311653,173296,0,0,0,0,0,17516,0.0875466708071508,15.670854074479992,69.07432326684199,167.42969055988215
Spike_807,11,17715,10903,598181,145,948,52,296,27241,61,1723046,116966,171895,47,20267,3723,22380,1149,15605,178811,173858,267709,0,0,0,0,0,23978,0.0757664823170484,16.289793698165404,77.35757844570641,198.67057752609745
Spike_94,10,1141406,91823,474745,648,893,112,15763,20650,81,771776,268506,139041,0,514,17706,2632,14373,15599,186,152947,227584,0,0,0,0,0,17991,0.0861351704789863,14.815249322385645,87.34106286569211,210.03647897314914
Spike_126,12,622598,14484,469780,200,672,21,4276,20033,15,1587465,130111,104703,27,919,17592,12147,6409,17152,3239,184782,160151,0,0,0,0,0,18200,0.0862848882253937,12.59759368090748,64.3685266161437,155.67836301496632
Spike_68,11,714965,8682,468995,662,664,6,9266,18006,10,1521834,74624,96773,13,879,17673,16266,4708,17695,1527,204623,178835,1,0,0,0,1,18268,0.0863914961212878,43.886880029614204,78.78904446261447,199.1599657171565
Spike_372,7,248465,5303,439128,136,569,7,5582,3468,3,1974234,53551,106990,203,1022,17051,19220,16785,17258,8905,296800,142561,0,0,0,0,2,17733,0.0866238579271675,14.639431989691307,48.85585587092247,115.69439280085693
Spike_816,9,10607,5301,596484,158,872,66,209,27011,42,1638056,151758,170110,53,21352,2656,22981,659,15958,235012,221131,230548,0,0,0,0,0,23952,0.0760731359155452,20.159381017619477,70.59587012962594,175.7902021152269
Spike_202,10,709894,9588,454932,863,711,14,16168,19302,9,1445718,53439,97340,443,815,17133,9925,9036,16730,6536,317070,171690,2,0,0,0,1,17617,0.0873840726849477,15.99128530134543,80.65549908820672,195.43179130897784
Spike_42,10,497498,7252,470610,656,620,5,14076,9856,6,1765329,66865,99896,90,938,17927,18555,12260,17920,3008,192590,160494,2,0,0,0,2,18521,0.0859810385452167,22.441051060301557,72.0521103008916,167.32007398592017
Spike_224,12,723285,11980,455917,408,654,7,10928,19776,19,1358861,113963,97653,10,915,17027,11978,5494,16187,1554,328810,181991,0,0,0,0,0,17559,0.0872601372516516,24.781878979469056,97.99313413360476,224.65943787227158
Spike_124,13,501534,8598,461930,527,658,12,7591,6647,4,1766780,71054,107278,251,983,17624,17464,15870,17423,17304,179133,158072,2,0,0,0,1,18236,0.0864983585963351,15.137212754358643,76.89704079214191,173.7868034653844
Spike_60,12,561287,7743,463212,440,612,4,12336,6179,3,1697907,68016,108432,36,939,17909,19314,14949,17953,5653,181812,171720,0,0,0,0,1,18519,0.0861881014806364,17.065244093166005,79.63780576810802,180.87199833419723
Spike_401,10,416729,15003,456888,131,683,16,5297,19894,7,1596299,174661,116968,99,769,17129,10396,7283,17015,754,335996,165370,0,0,0,0,0,17589,0.0879709908265458,20.585211853411717,72.83998040437993,189.46157913058448
Spike_805,7,687,2918,554225,122,693,3,73,5123,19,1468847,37865,177690,86,23848,352,23691,22183,18878,611113,186164,216254,0,0,0,0,0,24142,0.075608204899875,9.82906663698375,49.598982414318,120.33687799348549
Spike_408,10,589698,16144,458878,122,744,33,4932,19859,17,1382231,221427,107833,141,700,17170,9710,7679,16444,546,325738,177368,0,0,0,0,0,17562,0.087999445674529,31.67980044283044,75.15152660604777,205.12914410457475
Spike_483,15,158136,7141,437144,125,729,2,1450,17105,6,1912167,107954,126065,7,1209,18738,18525,5742,18399,381,359597,164732,0,0,0,0,0,19622,0.0876472778776541,26.7324197526845,66.08604751975119,164.03478826663442
Spike_216,9,498421,6581,446925,782,632,2,12630,6859,13,1707683,43999,104402,276,1039,17006,16971,15462,16888,16990,288900,154879,2,0,0,0,1,17633,0.0869578400613519,26.43518337865098,51.65295699644303,161.27599920084683
Spike_783,11,23045,21216,551145,177,1064,60,251,26992,58,1558206,234292,194154,13,20377,3377,20678,2801,11593,193824,212782,275040,0,0,0,0,0,23831,0.0794455700325113,19.940838078160336,89.37626628657522,255.2828327296442
Spike_624,7,12945,9452,591556,184,1338,77,472,27548,56,1784067,229704,152586,2,18245,5407,15771,7374,7462,124220,161475,201313,0,0,0,0,0,23722,0.077306558122706,10.359078788442604,46.92508078048254,111.4868156442746
Spike_579,9,10811,6652,593067,152,1111,109,337,27333,54,1638861,204640,157742,11,15516,8295,18648,4697,7302,165748,221026,269031,0,0,0,0,0,23833,0.0776333646791784,18.55437415832364,71.26742877548577,182.66075892610144
Spike_645,10,8985,6399,596934,154,1066,130,310,27276,66,1600364,217462,154100,13,17863,5948,15898,7438,7504,174416,232837,276029,0,0,0,0,0,23784,0.0774123738086377,15.637299509344816,75.5544768372304,187.6503578418019
Spike_28,8,601006,11556,476550,478,744,21,8242,19343,8,1617860,118922,107730,36,832,17976,15677,4239,17810,1215,181647,154562,0,0,0,0,0,18522,0.0846995151862657,15.245912733527826,59.88255723668985,140.70989808731238
Spike_102,12,504796,8965,468570,659,694,21,8602,12085,17,1724166,72682,101086,238,817,17751,16438,10415,17792,1354,199040,190563,0,0,0,0,2,18223,0.0855932871575102,23.366967394000284,96.12126147788396,224.43578124924355
Spike_112,8,430805,8037,453765,297,551,3,4876,4361,1,1848515,87818,110771,68,1184,17491,17636,17342,17499,25108,157867,152700,0,0,0,0,2,18279,0.0860789420962321,13.9447886195896,49.66754958952592,116.00462114372795
Spike_442,6,19863,36974,382781,121,339,0,29,5221,14,1342115,810610,171471,79,19985,34,19275,16791,16393,253,340910,172021,0,0,0,0,0,19697,0.0862956155942288,11.218430027249743,41.85337356320097,99.6635592061459
Spike_416,9,435996,8712,455382,365,807,16,12310,18991,6,1730262,65987,95812,981,709,17251,13461,6401,17206,1360,317623,157689,0,0,0,0,0,17649,0.0874297407441945,13.988758519071121,67.93290855823913,157.4075393031211
Spike_379,10,579386,13575,459073,255,846,59,13071,19845,22,1421592,169856,113413,960,544,17293,6589,11035,16856,1286,326550,185237,0,0,0,0,0,17633,0.0879912987092128,27.189311301146752,76.02448208475985,198.28157806500016
Spike_44,10,854116,38684,480416,498,727,75,7291,20726,28,1146194,238758,133699,0,595,18069,9889,8229,17356,446,175438,205303,0,0,0,0,0,18439,0.0857154335530488,29.400393708695738,90.51549783201953,246.54893973623237
Spike_451,9,13953,146886,448292,143,463,0,88,21911,5,859662,1150381,136482,44,19446,412,12952,6415,14156,50,303019,220758,0,0,0,0,0,19458,0.0872237802009543,15.874727996573682,80.158654004677,197.34838266100763
Spike_88,9,917107,35788,472576,810,865,41,9827,20385,41,1115656,221919,124686,1,706,17681,7554,10293,15845,483,195487,189176,0,0,0,0,0,18049,0.0856657055727097,22.44441486004994,63.735284946096016,156.2959227095667
Spike_186,10,437163,5811,435281,1165,555,2,8786,2976,5,1765215,46420,113395,306,998,17012,20460,16903,17257,9399,306231,151952,0,0,0,0,1,17683,0.0872721532975452,13.43991160782196,57.425076869784746,142.6272487022309
Spike_192,12,721724,11379,455498,659,758,9,10935,19592,15,1394250,83723,95431,151,896,17023,9223,8464,15747,2330,345701,163914,0,0,0,0,0,17554,0.0873776031542454,15.990101377226908,76.71753556942747,189.1085711627137
Spike_426,10,13375,186569,463474,126,547,0,131,21849,12,726378,1202794,147589,15,19093,709,6993,12247,11484,22,319554,222642,0,0,0,0,0,19373,0.0868970678669335,24.418076070608315,72.38525753315561,178.22343343688303
Spike_541,14,1112,3600,586144,147,834,71,163,26928,37,1596729,79553,174398,31,22938,1138,23186,690,16504,434084,162657,219979,0,0,0,0,0,24053,0.0762921137416002,19.22561266288325,88.57514405399785,209.6093061563247
Spike_619,9,14686,10216,587797,165,1263,42,344,27591,48,1707044,219535,154351,5,19476,4238,16798,6472,8307,182423,174885,215533,0,0,0,0,0,23757,0.077478513509231,16.657880404484665,60.588197564218646,149.3010276280505
Spike_707,10,3298,4486,595673,174,982,93,256,27058,51,1676159,193240,163354,11,20417,3493,19638,3877,9688,243153,152751,233189,0,0,0,0,0,23935,0.076733529941717,14.8863048086931,66.83490457923551,167.47066800499803
Spike_24,11,1004049,59329,481385,219,682,18,6832,20744,31,1038267,225298,109226,4,775,17982,14385,3755,17111,188,142609,213654,0,0,0,0,0,18433,0.0855986367193879,22.341244183760242,85.34184080922974,218.65969635295292
Spike_443,13,8868,55396,404189,121,256,0,23,18561,5,1119379,1024411,160362,107,19981,7,19153,3544,16038,119,336118,168733,0,0,0,0,0,19605,0.0861186815435159,10.93707255602652,47.02080012275968,109.72063015416644
Spike_766,12,6874,4333,557243,173,944,106,213,26980,45,1891993,95412,165697,54,20184,3722,22737,868,15018,217263,136822,184333,0,0,0,0,0,23962,0.0784343494567663,9.33368758535519,37.962225137074896,97.04766327585676
Spike_120,11,749260,19936,470489,391,816,27,4776,20266,29,1430891,120238,105174,209,815,17691,10835,7387,17087,2137,193597,184804,0,0,0,0,0,18121,0.0861814739351778,13.530491407822915,89.45636994471457,206.21609893643765
Spike_409,9,533561,12588,456325,127,730,26,4318,19943,24,1543523,177033,103941,92,694,17150,9867,7564,16562,582,295078,157702,0,0,0,0,0,17546,0.0873369704090605,28.47185235335372,59.214465937343014,159.2464370506176
Spike_449,10,15885,104326,441875,186,484,0,108,21705,11,966703,1087185,139183,16,19567,292,16884,2612,14516,52,316245,207616,0,0,0,0,0,19525,0.0868862103042264,13.03293154563396,77.50249959136995,179.0410902983088
Spike_429,11,40979,170550,462240,121,638,0,182,21850,15,920864,977520,141849,6,17262,2539,13041,6196,12846,25,344607,222189,0,0,0,0,0,19457,0.0867807644161007,31.76175977629286,75.06536121992711,205.79597914138066
Spike_615,8,17529,12821,595588,165,1101,135,376,27269,53,1755701,205499,149786,18,15333,8472,17997,5302,7608,146655,177768,206001,0,0,0,0,0,23799,0.0774449314296134,10.222730948708968,56.0701303550401,128.3003911518559
Spike_623,10,5279,5714,582808,161,1198,65,280,27525,34,1768358,133982,156629,11,19700,4122,17333,6068,9646,250336,154989,206915,0,0,0,0,0,23823,0.0776627866560515,11.727080785063777,55.761880819044976,131.68518841498943
Spike_640,6,2840,4113,588127,140,976,111,209,27102,67,1793887,123242,157786,34,20379,3489,19012,4487,9026,278770,127395,189904,0,0,0,0,0,23880,0.0779592381794262,8.263679247019176,38.35594518427769,89.54857605436558
Spike_697,10,437,3682,563356,111,1027,21,159,27210,18,1555836,165379,174985,58,23196,632,21270,2414,11696,422305,153393,223974,0,0,0,0,0,23817,0.0773231021951947,11.6757884314744,65.8019599681107,154.41871971990372
Spike_96,19,569214,9526,470246,411,797,8,9323,19945,9,1626429,127903,102698,74,891,17629,11863,7173,17132,3029,184231,178264,0,0,0,0,0,18181,0.0857169946877725,39.258383566999804,69.94506766522235,198.67461342391772
Spike_464,10,62837,96823,447953,144,641,0,190,21989,5,1189731,823076,136868,10,15664,4119,15781,3475,14912,58,320832,200416,0,0,0,0,0,19452,0.0874344187007356,23.519858630497875,71.52135449720171,176.06302243448897
Spike_618,17,1583,3871,574601,141,925,79,205,27163,46,1659571,120939,166525,44,21222,2763,22748,919,15602,344876,175626,211523,0,0,0,0,0,24004,0.0771197531809122,20.35961483976082,46.426091414909145,129.85957561212751
Spike_664,10,11975,10478,594855,159,1112,146,431,27233,79,1560042,291651,161511,17,17819,5917,15814,7368,7525,133825,193165,310085,0,0,0,0,0,23769,0.0775665217342237,20.55512825956928,86.25397216845676,220.81143104139295
Spike_717,10,3952,4181,585122,152,1000,71,251,27120,57,1541616,186577,168832,19,20358,3574,21818,1725,12471,282418,225817,263832,0,0,0,0,0,24013,0.0767823941589225,15.04934925514881,72.78970966265854,175.57094826541524
Spike_228,12,596218,8435,450679,1495,677,3,29529,14254,20,1550727,44535,104691,1208,898,17086,12891,12838,16964,17377,313081,163711,1,0,0,0,0,17658,0.086439768283379,15.732037827574977,85.6618103688286,208.7184484581906
Spike_495,13,8617,77505,421776,128,465,0,48,21710,9,1004085,1122586,141057,28,19694,181,17104,2379,14225,79,303379,200384,0,0,0,0,0,19537,0.087626029891804,20.329238934898527,73.08010892976453,184.61160578373992
Spike_1,15,481922,7492,448834,3809,459,0,20721,3668,2,1780831,76646,110504,79,1219,17864,24660,17071,18004,20449,147557,174495,19,0,0,0,29,18642,0.08595560773388,62.05994878386136,77.7898249991614,274.79775587796996
Spike_670,9,13627,9721,586383,162,1199,84,350,27358,72,1600538,223409,160638,9,16521,7224,17392,5871,6773,196637,200416,276819,0,0,0,0,0,23773,0.0778327005826697,13.776388003132537,79.00019109140975,188.4960363927088
Spike_377,10,700189,18890,460798,650,730,116,8419,19915,31,1307834,189132,111826,458,543,17250,5873,11551,17078,897,297961,187314,0,0,0,0,0,17521,0.0878786657395669,35.76661695600373,68.10596594816435,193.4976927142925
Spike_776,9,24188,9600,563962,120,1115,131,319,26991,72,1729583,213527,156837,31,15884,7752,19241,4023,8641,92287,204240,272718,0,0,0,0,0,23714,0.0792826948994213,14.270885081895834,73.49505817176355,182.44124645474653
Spike_244,10,415729,6219,435292,389,521,1,5159,3436,2,1741533,50719,112085,69,1093,16966,18158,16598,17131,3550,355937,156676,0,0,0,0,1,17712,0.0880670931817027,15.764009679524783,72.91955315444983,168.73173333813926
Spike_808,19,11547,6136,608213,120,916,91,250,26980,48,1819458,114463,163078,19,19144,4776,21912,1582,12995,136832,157977,244564,0,0,0,0,0,23875,0.0755573010576689,24.556122843742394,79.18405150843701,216.62433441248942
Spike_537,16,13627,10075,610988,128,982,108,270,27252,62,1649783,158929,165078,23,20498,3419,19133,4359,11251,242638,161685,250744,0,0,0,0,0,23944,0.0762051734908225,30.405864222838176,94.26579960814743,247.2699513502757
Spike_711,9,6163,4943,599041,127,1013,67,188,27204,64,1673711,197273,164048,17,20520,3362,18834,4686,10417,250640,152495,216237,0,0,0,0,0,23926,0.0770016798799213,13.475293978986228,49.435078482909475,132.42640491239496
Spike_274,12,471938,9691,443641,240,562,1,5099,7846,2,1622313,82338,113972,16,978,16982,17232,12367,17005,1845,342100,191136,0,0,0,0,0,17672,0.0871278534840274,32.76007290999431,73.44878048703511,213.1577388084045
Spike_715,10,6763,5526,594168,123,1049,87,261,27221,52,1494567,282404,164972,22,19709,4167,19955,3497,8108,230267,222893,265229,0,0,0,0,0,23936,0.0767690972806358,13.818437510514444,68.24772748248523,166.18188124210553
Spike_376,8,257914,5663,443283,179,579,0,9784,3207,4,1960775,44752,103242,655,966,17086,19645,17190,17279,10225,299561,145227,0,0,0,0,6,17754,0.0877461145244146,11.494741002698312,54.75357546323471,126.86814966222389
