H1S1V1,H1S2V1,H1S3V1,H2S1V1,H2S2V1,H2S3V1,H3S1V1,H3S2V1,H3S3V1,H1S1V2,H1S2V2,H1S3V2,H2S1V2,H2S2V2,H2S3V2,H3S1V2,H3S2V2,H3S3V2,H1S1V3,H1S2V3,H1S3V3,H2S1V3,H2S2V3,H2S3V3,H3S1V3,H3S2V3,H3S3V3,name
12482,37279,384159,183,203,0,9,8105,19,1255802,917698,167398,44,20088,3,19231,13928,15749,142,334666,168143,0,0,0,0,0,19645,Spike_445
1218011,31879,480900,1137,821,40,12412,20569,69,935391,138772,101159,5,687,18039,6795,11379,16855,919,170683,190070,2,0,0,0,0,18382,Spike_18
818785,64736,471399,160,739,13,2432,20438,18,1178597,267306,102645,5,913,17518,12885,4977,14626,389,196446,181877,0,0,0,0,0,18072,Spike_136
995200,44359,472505,726,857,56,13881,20388,65,1116167,144296,103087,88,666,17719,6393,11510,16344,1045,190891,200630,0,0,0,0,0,18103,Spike_114
497061,10338,465333,441,728,11,5698,14913,12,1696665,104130,106632,98,980,17587,16516,7920,17185,8032,216187,170302,0,0,0,0,0,18207,Spike_90
436627,6508,458026,828,517,2,13830,3355,4,1861689,57390,111576,299,1023,17944,20667,17416,17999,11364,169198,150138,0,0,0,0,2,18574,Spike_36
8123,5008,597285,132,884,83,249,27002,40,1576914,158737,174989,55,20933,3047,22892,697,16254,218807,260279,258618,0,0,0,0,0,23948,Spike_817
10012,7136,602176,139,927,47,230,27091,47,1822256,132711,167690,46,21280,2671,21357,2163,13839,167539,151318,200399,0,0,0,0,0,23902,Spike_790
364787,5491,429578,1395,523,3,9969,2909,4,1763019,38488,113898,540,1072,17059,19291,16958,17210,14390,361268,179353,1,0,0,0,11,17759,Spike_242
31459,60570,431388,156,466,0,115,21594,8,1202296,886326,150921,39,19711,222,19006,651,16446,108,345903,168006,0,0,0,0,0,19585,Spike_440
942271,14449,457517,1700,852,49,17674,19694,47,1177894,64961,98987,627,609,17221,5852,11961,16245,1988,333627,173278,2,0,0,0,0,17471,Spike_190
12910,9243,587929,112,971,67,212,27112,43,1425769,217763,185007,50,22050,1870,22576,1043,12999,335539,230808,256915,0,0,0,0,0,23988,Spike_530
439669,6331,458495,783,523,3,14340,3288,3,1817801,63893,111513,393,1032,17917,20673,17642,18054,11013,192653,160441,1,0,0,0,8,18507,Spike_48
369036,6954,460144,415,574,0,10769,3396,6,1892298,61931,113082,253,1044,17902,19765,17499,18015,8969,190885,163497,0,0,0,0,4,18538,Spike_32
26330,8436,601089,117,863,107,288,27114,42,1580570,171058,175456,37,20159,3848,22386,1164,14589,188176,255023,254217,0,0,0,0,0,23907,Spike_813
430824,5195,440233,749,533,1,10476,2999,0,1697628,42512,106026,251,938,17104,19563,17001,17133,7073,371729,169327,3,0,0,0,3,17675,Spike_240
575171,7980,467782,408,558,10,5244,13330,3,1643155,109250,104128,68,912,17698,17352,8218,17638,1839,204507,161476,0,0,0,0,0,18249,Spike_71
637257,8411,453452,1481,694,14,23640,17853,12,1527002,49178,98039,725,880,17108,11978,8923,16857,12916,307884,163045,3,0,0,0,0,17624,Spike_212
8278,5959,609581,137,976,93,222,27216,48,1519522,194623,159540,33,20534,3384,20789,2715,10870,243055,249385,274039,0,0,0,0,0,23977,Spike_532
953015,77877,473211,1085,873,90,13838,20479,38,979443,234616,142409,8,546,17764,2775,14823,16550,509,169062,237897,0,0,0,0,0,18068,Spike_130
5371,4119,585693,97,870,24,168,26528,45,1677559,91952,181873,60,22992,1006,23169,934,17762,309548,173859,227409,0,0,0,0,0,23938,Spike_788
395205,8998,502507,186,821,46,12837,21905,48,1661189,43450,116422,698,782,19091,10135,10671,18430,4988,324974,202037,0,0,0,0,1,19555,Spike_521
