Name,Masked,Real,Diff
IMG_0052,15,23,8
IMG_0139,19,27,8
IMG_1033,16,24,8
IMG_1119,11,19,8
IMG_1175,12,20,8
IMG_0434,9,17,8
IMG_0517,9,17,8
IMG_9911,19,27,8
IMG_1096,15,23,8
IMG_9578,20,28,8
IMG_9724,21,29,8
IMG_0216,19,27,8
IMG_1137,16,24,8
IMG_0303,12,20,8
IMG_1095,15,23,8
IMG_0721,14,22,8
IMG_9947,18,26,8
IMG_0042,21,29,8
IMG_9941,17,25,8
6449,19,27,8
IMG_1082,17,25,8
IMG_9798,14,22,8
IMG_1088,15,23,8
IMG_0892,14,22,8
IMG_9590,21,29,8
IMG_0996,12,20,8
IMG_0327,11,19,8
IMG_0220,18,26,8
IMG_0999,15,23,8
IMG_1039,19,27,8
IMG_0169,16,24,8
IMG_9899,17,25,8
IMG_0735,10,18,8
IMG_0618,14,22,8
IMG_0498,15,23,8
IMG_0688,15,23,8
Spike_754,10,18,8
6441,15,22,7
Spike_443,6,13,7
IMG_9593,20,27,7
IMG_1097,16,23,7
IMG_9903,15,22,7
IMG_9721,19,26,7
IMG_1013,13,20,7
IMG_0803,15,22,7
IMG_0123,25,32,7
IMG_9734,19,26,7
IMG_0219,19,26,7
IMG_9848,19,26,7
IMG_0909,19,26,7
IMG_1003,15,22,7
IMG_0298,18,25,7
6680_2_{X-18},16,23,7
IMG_0641,14,21,7
6443_4,6,13,7
6835_2_{X-18},9,16,7
IMG_9704,20,27,7
IMG_0651,15,22,7
8779,10,17,7
IMG_9957,24,31,7
8804,12,19,7
6678_1_{X-18},4,11,7
6837_1_{X-18},13,20,7
6674_3_{X-18},20,27,7
IMG_1012,14,21,7
8828,22,29,7
IMG_0358,16,23,7
IMG_1098,15,22,7
Spike_118,7,14,7
IMG_0168,17,24,7
IMG_0447,12,19,7
IMG_1167,16,23,7
IMG_9987,16,23,7
6835_1_{X-18},10,17,7
IMG_0648,16,23,7
IMG_0324,15,22,7
8773,5,12,7
IMG_0337,13,20,7
IMG_0542,14,21,7
IMG_9637,21,28,7
IMG_9597,21,28,7
IMG_0394,14,21,7
8764_2,11,18,7
8734_3,14,21,7
IMG_0891,16,23,7
6441_4,5,12,7
IMG_1046,12,19,7
IMG_9826,23,30,7
IMG_0407,10,17,7
8759,12,19,7
6673_1_{X-18},3,10,7
6837_3_{X-18},13,20,7
6444_4,6,13,7
IMG_0098,20,27,7
IMG_0652,15,22,7
IMG_1155,18,25,7
IMG_9928,20,27,7
IMG_9649,21,28,7
IMG_0159,22,29,7
6419_{X-18},14,21,7
IMG_9668,19,26,7
IMG_0577,13,20,7
IMG_9574,21,28,7
IMG_9594,20,26,6
IMG_0102,19,25,6
IMG_0769,16,22,6
IMG_1185,14,20,6
IMG_0189,19,25,6
6677_3_{X-18},6,12,6
IMG_0206,22,28,6
IMG_0760,15,21,6
IMG_9588,21,27,6
IMG_0569,16,22,6
Spike_483,9,15,6
6673_2_{X-18},12,18,6
6836_1_{X-18},11,17,6
6418_4_{X-18},14,20,6
IMG_1105,16,22,6
IMG_0740,13,19,6
IMG_9993,21,27,6
IMG_0524,9,15,6
IMG_1141,18,24,6
IMG_0496,16,22,6
IMG_1045,14,20,6
IMG_0516,15,21,6
IMG_9858,24,30,6
IMG_1145,18,24,6
IMG_0645,17,23,6
IMG_0300,20,26,6
IMG_0697,12,18,6
IMG_0813,12,18,6
IMG_9656,23,29,6
IMG_0148,20,26,6
IMG_1100,14,20,6
IMG_0944,11,17,6
IMG_0304,18,24,6
IMG_0753,16,22,6
IMG_0521,14,20,6
8744_2,14,20,6
IMG_0807,15,21,6
IMG_0096,18,24,6
IMG_9986,16,22,6
IMG_0626,19,25,6
Spike_618,11,17,6
IMG_0635,13,19,6
IMG_1123,13,19,6
IMG_0642,17,23,6
IMG_0500,14,20,6
IMG_0158,22,28,6
8772,13,19,6
IMG_1173,15,21,6
Spike_622,4,10,6
IMG_9717,22,28,6
IMG_1037,20,26,6
IMG_0411,12,18,6
IMG_0369,12,18,6
IMG_9867,13,19,6
IMG_0446,15,21,6
IMG_0960,15,21,6
IMG_9723,23,29,6
IMG_9691,20,26,6
6420_4_{X-18},11,17,6
IMG_0176,21,27,6
IMG_0932,17,23,6
IMG_0752,17,23,6
IMG_0222,13,19,6
8744_4,14,20,6
IMG_0036,20,26,6
8734,16,22,6
6443_1,7,13,6
8739_3,7,13,6
6419_2_{X-18},15,21,6
